timecode, Mozart, Bach, Schubert, Liszt, Linkinpark
2020-04-18 20:52:20.180459,True,False,False,False,False
2020-04-18 20:52:23.406316,False,True,False,False,False
2020-04-18 20:52:26.104769,False,False,False,True,False
2020-04-18 20:52:28.836358,False,False,True,False,False
2020-04-18 20:52:31.760584,False,False,False,False,True
2020-04-18 20:52:36.140116,False,False,False,False,False
2020-04-18 20:52:42.605130,True,True,True,True,True
2020-04-18 21:09:12.019241,True,True,True,True,True
2020-04-18 21:09:48.012789,False,False,True,False,False
2020-04-18 21:10:56.732178,False,False,False,False,True
2020-04-18 21:12:13.416804,False,False,True,False,False
2020-04-18 21:13:26.740099,False,False,False,True,False
2020-04-18 21:20:03.680367,False,False,False,False,True
2020-04-18 21:21:03.846609,False,False,True,False,False
2020-04-18 21:22:31.611928,False,False,False,False,True
2020-04-18 21:24:20.184970,False,False,False,False,True
2020-04-18 21:24:47.412182,False,False,True,False,False
2020-04-18 21:25:16.500159,False,False,True,True,False
2020-04-18 21:33:06.696397,False,False,False,False,True
2020-04-18 21:34:03.576663,False,False,False,False,False
2020-04-18 21:38:55.570516,False,False,True,True,False
2020-04-18 21:43:33.433936,False,False,False,False,True
2020-04-18 21:44:58.381554,False,False,True,False,False
2020-04-18 21:53:23.818677,False,False,True,False,False
2020-04-18 21:55:30.173060,False,False,False,False,True
2020-04-18 21:56:02.540318,False,False,False,False,True
2020-04-18 21:56:41.690407,False,False,True,False,False
2020-04-18 22:04:37.634083,False,True,False,False,False
2020-04-18 22:05:53.088307,False,False,False,True,False
2020-04-18 22:06:52.639013,False,False,False,False,True
2020-04-18 22:07:05.507176,False,True,True,False,False
2020-04-18 22:07:18.799697,True,True,True,True,False
2020-04-18 22:07:29.267790,False,False,False,True,True
2020-04-18 22:09:21.398597,False,True,False,False,False
2020-04-18 22:09:27.892399,True,True,False,False,False
2020-04-18 22:18:25.462726,True,False,False,False,False
2020-04-18 22:18:32.331816,True,False,True,False,False
2020-04-18 22:20:08.322478,False,False,True,False,False
2020-04-18 22:20:12.116293,False,True,True,True,False
2020-04-18 22:20:16.991467,False,True,True,False,False
2020-04-18 22:21:46.922654,False,False,False,True,False
2020-04-18 22:21:54.064058,False,False,True,True,True
2020-04-18 22:22:04.953546,False,True,True,False,True
2020-04-18 22:22:13.564172,False,False,True,True,False
2020-04-18 22:22:22.789479,True,True,False,False,True
2020-04-18 22:31:38.342409,True,False,False,False,False
2020-04-18 22:31:54.165883,False,True,False,False,False
2020-04-18 22:32:00.541108,False,True,True,False,False
2020-04-18 22:32:07.919658,True,True,True,True,
2020-04-18 22:35:54.722909,True,False,False,False,False
2020-04-18 22:36:14.238155,False,False,True,True,False
2020-04-18 22:36:21.754897,True,True,True,True,True
2020-04-19 14:36:14.644528,False,False,False,False,True
2020-04-19 20:03:31.228743,False,False,False,True,False
2020-05-30 09:30:18.771404,False,False,True,False,False
2020-05-30 09:31:33.878693,True,True,False,False,True
